Result,name,Context
✅ UPDATED in military_events table,4859,descendant_count=8
✅ UPDATED in military_events table,5673,descendant_count=8
✅ UPDATED in military_events table,5880,descendant_count=8
✅ UPDATED in military_events table,7054,descendant_count=8
✅ UPDATED in military_events table,8067,descendant_count=8
✅ UPDATED in military_events table,8838,descendant_count=8
✅ UPDATED in military_events table,8888,descendant_count=8
✅ UPDATED in military_events table,9502,descendant_count=8
✅ UPDATED in military_events table,10539,descendant_count=8
✅ UPDATED in military_events table,11290,descendant_count=8
✅ UPDATED in military_events table,12253,descendant_count=8
✅ UPDATED in military_events table,12673,descendant_count=8
✅ UPDATED in military_events table,13180,descendant_count=8
✅ UPDATED in military_events table,13431,descendant_count=8
✅ UPDATED in military_events table,13506,descendant_count=8
✅ UPDATED in military_events table,14578,descendant_count=8
✅ UPDATED in military_events table,14877,descendant_count=8
✅ UPDATED in military_events table,14972,descendant_count=8
✅ UPDATED in military_events table,14981,descendant_count=8
✅ UPDATED in military_events table,15142,descendant_count=8
✅ UPDATED in military_events table,15407,descendant_count=8
✅ UPDATED in military_events table,15814,descendant_count=8
✅ UPDATED in military_events table,16225,descendant_count=8
✅ UPDATED in military_events table,16911,descendant_count=8
✅ UPDATED in military_events table,29147,descendant_count=8
✅ UPDATED in military_events table,30173,descendant_count=8
✅ UPDATED in military_events table,30818,descendant_count=8
✅ UPDATED in military_events table,248,descendant_count=7
