id,name,Result
✅ UPDATED in human_collection table,4098,constituent_id=16624
Q7319629,Reynolds Beal,Already exists
✅ UPDATED in human_collection table,2489,constituent_id=232
Q22704559,W. H. Bean,Already exists
✅ UPDATED in human_collection table,3434,constituent_id=233
Q1729542,William Holbrook Beard,Already exists
✅ UPDATED in human_collection table,3613,constituent_id=233
Q466677,Cecilia Beaux,Already exists
✅ UPDATED in human_collection table,2816,constituent_id=16166
Q20899724,Alice Beckington,Already exists
✅ UPDATED in human_collection table,2472,constituent_id=233
Q2061583,J. Carroll Beckwith,Already exists
✅ UPDATED in human_collection table,2911,constituent_id=16166
Q21751573,Clara Louise Bell,Already exists
✅ UPDATED in human_collection table,1869,constituent_id=233
Q5718019,Henry Benbridge,Already exists
✅ UPDATED in human_collection table,5571,constituent_id=233
Q8013431,William James Bennett,Already exists
✅ UPDATED in human_collection table,4658,constituent_id=16167
Q956055,Frank W. Benson,Already exists
✅ UPDATED in human_collection table,2629,constituent_id=16167
Q77132,Albert Bierstadt,Already exists
✅ UPDATED in human_collection table,3425,constituent_id=16168
Q598030,George Caleb Bingham,Already exists
✅ UPDATED in human_collection table,4024,constituent_id=16168
Q175370,Thomas Birch,Already exists
✅ UPDATED in human_collection table,4816,constituent_id=16168
Q8017857,William Russell Birch,Already exists
✅ UPDATED in human_collection table,5289,constituent_id=16168
Q5538916,George Edwin Bissell,Already exists
✅ UPDATED in human_collection table,3207,constituent_id=16316
Q114552,Karl Theodore Bitter,Already exists
✅ UPDATED in human_collection table,2490,constituent_id=16285
Q3184614,Joseph Blackburn,Already exists
✅ UPDATED in human_collection table,6072,constituent_id=234
Q1353482,Ralph Albert Blakelock,Already exists
✅ UPDATED in human_collection table,3024,constituent_id=234
✅ ADDED in humans table ,150785,"name='Edwin Blashfield', qid='Q5346254', description='American painter and muralist (1848–1936)', img_url='https://commons.wikimedia.org/wiki/Special:FilePath/Edwin%20Blashfield.jpg', signature_url='https://commons.wikimedia.org/wiki/Special:FilePath/Signature%20of%20Edwin%20Howland%20Blashfield.png', birth_date=1848, death_date=1936, num_of_identifiers=60"
✅ UPDATED in humans table,150785,nationality_id=378
✅ UPDATED in humans table,150785,gender_id=1
✅ ADDED in citizenships table ,22797,"human_id=150785, state_id=4"
✅ ADDED in human_location table ,212171,"human_id=150785, location_id=5546, relationship_type_id=6, start_date=None, end_date=None"
✅ ADDED in human_location table ,212172,"human_id=150785, location_id=5550, relationship_type_id=6, start_date=None, end_date=None"
